case,cores,singlecore_cycles,initial_cycles,makespan_cycles,initial_speedup,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,locality_ratio,internalized_bytes,buffer85_ok,evaluations,wall_seconds,selected
case_004,2,392357,199074,196032,1.9709103147573264,2.0014946539340515,1.528074987190693,983040,872448,258048,129024,1.0,4432896,False,8,2.9784761299961247,band_w4_k2
case_004,3,392357,134043,131412,2.927098020784375,2.985701458009923,1.96280298113292,847872,626688,199680,129024,1.0,4432896,False,8,3.4380916710360907,band_w4_k3
case_004,4,392357,104188,101428,3.765855952700887,3.8683302441140515,2.6490574730295235,712704,380928,172032,129024,1.0,4432896,False,8,4.4545559989637695,band_w4_k4
case_004,5,392357,88341,85236,4.441391879195391,4.603184100614763,3.5147892824396374,577536,135168,156672,129024,1.0,4432896,False,8,3.581883301027119,band_w4_k5
case_005,2,95618,95618,52094,1.0,1.8354896917111376,45.51862620008785,324966,0,38400,28852,0.898246035559827,4306752,True,8,14.167793901986443,valley_w6_k2
case_005,3,95618,95618,39847,1.0,2.399628579315883,58.32688405948671,913164,0,28992,21940,0.8647084734903091,4145952,True,8,15.105896576016676,valley_w6_k3
case_005,4,95618,95618,34791,1.0,2.7483544594866487,63.61459139492564,948786,0,32832,19636,0.8508729777350633,4079616,True,8,14.8942746570101,valley_w1_k4
case_005,5,95618,95618,34791,1.0,2.7483544594866487,63.61459139492564,948786,0,32832,19636,0.8508729777350633,4079616,True,8,18.928121063043363,valley_w1_k4
case_006,2,82837,46100,40084,1.7968980477223426,2.0665851711406047,13.049891540130151,820626,119848,145024,123926,0.9037510919543236,2418794,False,8,3.7826631990028545,band_w4_k2
case_006,3,82837,31153,31153,2.6590376528745225,2.6590376528745225,0.0,30080,0,196608,94220,1.0,2676394,True,8,2.2792145369458012,base_w0_k3
case_006,4,82837,31428,24586,2.6357706503754614,3.369275197266737,21.770395825378642,637248,0,100992,51200,0.9227707131311758,2469698,True,8,4.564078545954544,data_w4_k4
case_006,5,82837,31733,29796,2.6104370844231557,2.780138273593771,6.104055714870954,390528,0,196608,94220,0.9326616335263044,2496170,True,8,4.089333969983272,split_s0_d11_c3
case_007,2,1012562,507494,490814,1.9952196479170197,2.063025912056298,3.2867383653796893,2933760,2906112,451584,129024,1.0,11082240,False,8,20.960735059983563,band_w4_k2
case_007,3,1012562,338094,326994,2.994912657426633,3.096576695596861,3.283110614207883,2709504,2654208,308736,129024,1.0,11082240,False,8,23.00068331102375,band_w4_k3
case_007,4,1012562,254398,246058,3.980227831979811,4.115135455868129,3.2783276598086464,2485248,2402304,238080,129024,1.0,11082240,False,8,23.956913881003857,band_w4_k4
case_007,5,1012562,203834,197052,4.967581463347626,5.1385522603170735,3.327217245405575,2260992,2150400,195072,129024,1.0,11082240,False,8,22.81539048597915,band_w4_k5
case_008,2,487605,244266,136244,1.9962049568912579,3.5789098969495905,44.22310104558146,3538944,3538944,30720,129216,1.0,13976064,False,8,4.793298795004375,band_w4_k2
case_008,3,487605,163359,110229,2.984867684057811,4.4235636719919444,32.52346059904872,3317760,3317760,30720,129216,1.0,13976064,False,8,5.623896080011036,band_w4_k3
case_008,4,487605,123060,104264,3.962335446123842,4.676638149313281,15.273850154396229,3096576,3096576,30720,129216,1.0,13976064,False,8,5.783770164009184,band_w4_k4
case_008,5,487605,100603,97488,4.846823653370178,5.001692516001969,3.0963291353140563,2875392,2875392,30720,129216,1.0,13976064,False,8,5.340785334003158,band_w4_k5
case_009,2,153261,92198,88429,1.66230286991041,1.7331531511155842,4.087941170090457,740494,7616,36992,127052,0.8901050600136987,2778422,False,8,28.704335759975947,band_w4_k2
case_009,3,153261,92207,73295,1.6621406183912284,2.0910157582372606,20.510373398982722,1185252,0,32224,115436,0.8292795601024394,2588558,False,8,33.64520315005211,band_w4_k3
case_009,4,153261,92216,61181,1.6619783985425522,2.5050424151288797,33.65468031578034,1013322,0,38688,34324,0.8387905123701968,2618246,True,8,34.2192631890066,eft_placement
case_009,5,153261,92225,60829,1.6618162103551097,2.5195383780762466,34.0428300352399,1222200,0,38400,26738,0.827013949268514,2581486,True,8,43.24395346903475,move_s22_c1
case_010,2,86969,45272,43997,1.9210328679978794,1.9767029570197967,2.816310302173529,468464,0,181760,76548,0.9105493391568489,2141470,True,8,2.7224363909917884,split_s4_d12_c1
case_010,3,86969,30856,30856,2.8185442053409386,2.8185442053409386,0.0,48384,0,229376,32776,1.0,2351844,True,8,2.120164913008921,base_w0_k3
case_010,4,86969,29856,25173,2.9129488210075025,3.4548524212449845,15.685289389067524,365144,0,115072,55042,0.9573041409209114,2251430,True,8,3.6720121770049445,data_w4_k4
case_010,5,86969,31015,22139,2.8040947928421733,3.928316545462758,28.618410446558116,411780,0,115072,41634,0.9541925399813933,2244112,True,8,4.739771588006988,move_s6_c3
case_011,2,184697,92646,92646,1.9935777043801135,1.9935777043801135,0.0,180224,0,241664,0,1.0,2752512,True,8,2.1809346770169213,base_w0_k2
case_011,3,184697,69625,67190,2.6527396768402154,2.7488763208810836,3.497307001795332,2330624,0,192512,0,0.7723214285714286,2125824,True,8,3.8410612560110167,band_w8_k3
case_011,4,184697,46880,46880,3.9397824232081913,3.9397824232081913,0.0,540672,0,110592,0,1.0,2752512,True,8,2.7919625400099903,base_w0_k4
case_011,5,184697,47287,46880,3.905872649988369,3.9397824232081913,0.8607016727641846,540672,0,110592,0,1.0,2752512,True,8,4.548073265992571,base_w0_k4
case_012,2,59088,30094,29386,1.9634478633614674,2.0107534199959165,2.352628430916462,235858,0,30720,65274,0.9441869946891793,898528,True,8,3.151256288983859,valley_w1_k2
case_012,3,59088,21894,21451,2.6988215949575225,2.7545568971143535,2.02338540239335,323196,0,36416,72292,0.924482105665786,879776,True,8,3.857878657989204,valley_w6_k3
case_012,4,59088,17236,17109,3.42817359016013,3.453620901280028,0.736829890925969,39168,0,28224,47110,1.0,951642,True,8,3.5762154969852418,split_s1_d10_c1
case_012,5,59088,14300,14300,4.132027972027972,4.132027972027972,0.0,49536,0,28224,30728,1.0,951642,True,8,3.841663316998165,base_w0_k5
case_013,2,263949,132198,132198,1.9966187083011846,1.9966187083011846,0.0,8192,0,20480,0,1.0,3526656,True,8,6.5255990360165015,base_w0_k2
case_013,3,263949,88351,88351,2.98750438591527,2.98750438591527,0.0,16384,0,20480,0,1.0,3526656,True,8,7.429445806017611,base_w0_k3
case_013,4,263949,66982,66982,3.9405959810098237,3.9405959810098237,0.0,24576,0,20480,0,1.0,3526656,True,8,7.573555151000619,base_w0_k4
